globaleventid,sqldate,monthyear,year,fractiondate,actor1code,actor1name,actor1countrycode,actor1knowngroupcode,actor1ethniccode,actor1religion1code,actor1religion2code,actor1type1code,actor1type2code,actor1type3code,actor2code,actor2name,actor2countrycode,actor2knowngroupcode,actor2ethniccode,actor2religion1code,actor2religion2code,actor2type1code,actor2type2code,actor2type3code,isrootevent,eventcode,eventbasecode,eventrootcode,quadclass,goldsteinscale,nummentions,numsources,numarticles,avgtone,actor1geo_type,actor1geo_fullname,actor1geo_countrycode,actor1geo_adm1code,actor1geo_lat,actor1geo_long,actor1geo_featureid,actor2geo_type,actor2geo_fullname,actor2geo_countrycode,actor2geo_adm1code,actor2geo_lat,actor2geo_long,actor2geo_featureid,actiongeo_type,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_lat,actiongeo_long,actiongeo_featureid,dateadded,sourceurl,cameoeventcode,cameoevent,cameobaseeventcode,cameobaseevent,cameorooteventcode,cameorootevent
471930712,20151001,201510,2015,2015.7425,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,1822,182,18,4,-9,4,2,4,0.18173258,3,"Philadelphia, Pennsylvania, United States",US,USPA,39.9523,-75.1638,1209052,0,,,,,,,3,"Philadelphia, Pennsylvania, United States",US,USPA,39.9523,-75.1638,1209052,20151001,http://massachusettsnewswire.com/date/2015/09/,1822,Torture,182,"Physically assault, not specified below",18,ASSAULT
426010642,20150416,201504,2015,2015.2904,BGD,BANGLADESH,BGD,,,,,,,,,,,,,,,,,,1,12,12,1,1,-0.4,13,3,13,-2.449223061,4,"Dhaka, Dhaka, Bangladesh",BG,BG81,23.7231,90.4086,-2737683,0,,,,,,,4,"Dhaka, Dhaka, Bangladesh",BG,BG81,23.7231,90.4086,-2737683,20150416,http://www.telegraphindia.com/1150417/jsp/business/story_14984.jsp,12,Make pessimistic comment,12,Make pessimistic comment,1,MAKE PUBLIC STATEMENT
438445692,20150604,201506,2015,2015.4219,USAMED,REUTERS,USA,,,,,MED,,,UKR,UKRAINE,UKR,,,,,,,,1,12,12,1,1,-0.4,2,1,2,-11.34020619,1,Russia,RS,RS,60,100,RS,1,Russia,RS,RS,60,100,RS,1,Russia,RS,RS,60,100,RS,20150604,http://uatoday.tv/news/reuters-germany-says-fighting-in-eastern-ukraine-worrying-432681.html,12,Make pessimistic comment,12,Make pessimistic comment,1,MAKE PUBLIC STATEMENT
422308169,20150402,201504,2015,2015.2521,JUD,CHIEF JUSTICE,,,,,,JUD,,,USA,UNITED STATES,USA,,,,,,,,1,16,16,1,1,-2,2,1,2,-0.466744457,2,"Maine, United States",US,USME,44.6074,-69.3977,ME,2,"Maine, United States",US,USME,44.6074,-69.3977,ME,2,"Maine, United States",US,USME,44.6074,-69.3977,ME,20150402,http://www.salon.com/2015/04/02/americas_menendez_problem_how_big_money_poisons_politics_and_how_it_can_be_fixed/,16,Deny responsibility,16,Deny responsibility,1,MAKE PUBLIC STATEMENT
425820011,20150416,201504,2015,2015.2904,GOV,REGULATOR,,,,,,GOV,,,,,,,,,,,,,1,12,12,1,1,-0.4,10,1,10,-1.419878296,4,"Shanghai, Shanghai, China",CH,CH23,31.2222,121.458,-1924465,0,,,,,,,4,"Shanghai, Shanghai, China",CH,CH23,31.2222,121.458,-1924465,20150416,http://www.reuters.com/article/2015/04/16/markets-hongkong-china-stocks-midday-idUSL4N0XD1X220150416,12,Make pessimistic comment,12,Make pessimistic comment,1,MAKE PUBLIC STATEMENT
438315263,20150604,201506,2015,2015.4219,MIL,ARMY,,,,,,MIL,,,USA,UNITED STATES,USA,,,,,,,,1,12,12,1,1,-0.4,9,8,9,-6.659621178,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,20150604,http://www.fox10tv.com/story/29231017/arlington-denies-burial-of-guardsman-killed-in-chopper-crash,12,Make pessimistic comment,12,Make pessimistic comment,1,MAKE PUBLIC STATEMENT
451460335,20150723,201507,2015,2015.5562,COPMED,POLICE,,,,,,COP,MED,,,,,,,,,,,,0,16,16,1,1,-2,20,1,20,-8.20610687,4,"Kabul, Kabol, Afghanistan",AF,AF13,34.5167,69.1833,-3378435,0,,,,,,,4,"Kabul, Kabol, Afghanistan",AF,AF13,34.5167,69.1833,-3378435,20150723,http://cdanews.com/2015/07/suicide-bombing-kills-dozens-near-afghanistan-market/,16,Deny responsibility,16,Deny responsibility,1,MAKE PUBLIC STATEMENT
506318909,20160128,201601,2016,2016.0767,NPL,NEPAL,NPL,,,,,,,,BUS,COMPANY,,,,,,BUS,,,1,12,12,1,1,-0.4,4,1,4,0.35971223,4,"Kathmandu, Bagmati, Nepal",NP,NP01,27.7167,85.3167,-1022136,4,"Kathmandu, Bagmati, Nepal",NP,NP01,27.7167,85.3167,-1022136,4,"Kathmandu, Bagmati, Nepal",NP,NP01,27.7167,85.3167,-1022136,20160128,http://kathmandupost.ekantipur.com/news/2016-01-28/teliasonera-can-repatriate-cash-after-submitting-paperwork.html,12,Make pessimistic comment,12,Make pessimistic comment,1,MAKE PUBLIC STATEMENT
513112503,20160218,201602,2016,2016.1315,EDU,UNIVERSITY,,,,,,EDU,,,CVL,SCIENTIST,,,,,,CVL,,,1,12,12,1,1,-0.4,1,1,1,-1.98019802,2,"Georgia, United States",US,USGA,0,0,GA,2,"Georgia, United States",US,USGA,0,0,GA,2,"Georgia, United States",US,USGA,0,0,GA,20160218,http://politics.blog.ajc.com/2016/02/18/blacks-see-race-behind-gop-refusal-to-consider-obama-nominee-to-u-s-supreme-court/,12,Make pessimistic comment,12,Make pessimistic comment,1,MAKE PUBLIC STATEMENT
455589887,20150806,201508,2015,2015.5918,GBR,UNITED KINGDOM,GBR,,,,,,,,BUS,COMPANY,,,,,,BUS,,,1,12,12,1,1,-0.4,2,1,2,2.309468822,4,"Lanarkshire, South Lanarkshire, United Kingdom",UK,UKW5,55.5833,-3.83333,-2600653,4,"Lanarkshire, South Lanarkshire, United Kingdom",UK,UKW5,55.5833,-3.83333,-2600653,4,"Lanarkshire, South Lanarkshire, United Kingdom",UK,UKW5,55.5833,-3.83333,-2600653,20150806,http://www.scottishconstructionnow.com/7480/new-north-lanarkshire-rail-freight-terminal-approved/,12,Make pessimistic comment,12,Make pessimistic comment,1,MAKE PUBLIC STATEMENT
