globaleventid	sqldate	monthyear	year	fractiondate	actor1code	actor1name	actor1countrycode	actor1knowngroupcode	actor1ethniccode	actor1religion1code	actor1religion2code	actor1type1code	actor1type2code	actor1type3code	actor2code	actor2name	actor2countrycode	actor2knowngroupcode	actor2ethniccode	actor2religion1code	actor2religion2code	actor2type1code	actor2type2code	actor2type3code	isrootevent	eventcode	eventbasecode	eventrootcode	quadclass	goldsteinscale	nummentions	numsources	numarticles	avgtone	actor1geo_type	actor1geo_fullname	actor1geo_countrycode	actor1geo_adm1code	actor1geo_lat	actor1geo_long	actor1geo_featureid	actor2geo_type	actor2geo_fullname	actor2geo_countrycode	actor2geo_adm1code	actor2geo_lat	actor2geo_long	actor2geo_featureid	actiongeo_type	actiongeo_fullname	actiongeo_countrycode	actiongeo_adm1code	actiongeo_lat	actiongeo_long	actiongeo_featureid	dateadded	sourceurl	record	url	authors	keywords	eventcode_1	eventdesc_1	eventbase	eventbasedesc	eventroot	eventrootdesc
427951650	20150423	201504	2015	2015.3096	LBY	LIBYA	LBY								CVL	MIGRANT						CVL			0	111	111	11	3	-2.0	2	1	2	-2.80673616680032	1	Italy	IT	IT	42.8333	12.8333	IT	1	Italy	IT	IT	42.8333	12.8333	IT	1	Italy	IT	IT	42.8333	12.8333	IT	20150423	http://www.amren.com/news/2015/04/eu-summit-to-offer-resettlement-to-only-5000-refugees/	23	http://www.amren.com/news/2015/04/eu-summit-to-offer-resettlement-to-only-5000-refugees/	[]	['summit', '5000', 'foreign', 'triton', 'searchandrescue', 'operations', 'resettlement', 'migrants', 'operation', 'eu', 'leaders', 'offer', 'traffickers', 'refugees']	111	Criticize or denounce 	111	Criticize or denounce 	111	Criticize or denounce 
438315263	20150604	201506	2015	2015.4219	MIL	ARMY						MIL			USA	UNITED STATES	USA								1	012	012	01	1	-0.4	9	8	9	-6.65962117803828	2	Florida, United States	US	USFL	27.8333	-81.717	FL	2	Florida, United States	US	USFL	27.8333	-81.717	FL	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20150604	http://www.fox10tv.com/story/29231017/arlington-denies-burial-of-guardsman-killed-in-chopper-crash					012	Make pessimistic comment	012	Make pessimistic comment	012	Make pessimistic comment
455455254	20150806	201508	2015	2015.5918	USA	UNITED STATES	USA																		0	070	070	07	2	7.0	2	1	2	-6.18458610846813	3	Berks County, Pennsylvania, United States	US	USPA	40.6254	-75.8749	1209172	0							3	Allentown, Pennsylvania, United States	US	USPA	40.4276	-79.9939	1202899	20150806	http://www.mcall.com/news/local/mc-p-pa-allentown-reading-fbi-investigation-acosta-guilty-2-20150805-story.html	278	http://www.mcall.com/news/local/mc-p-pa-allentown-reading-fbi-investigation-acosta-guilty-2-20150805-story.html	['Emily Opilo', 'Paul Muschick']	['reading', 'tied', 'contributions', 'guilty', 'funds', 'probe', 'ethics', 'case', 'public', 'believed', 'additional', 'fbi', 'official', 'code', 'prohibited', 'plea', 'winning']	070	Provide aid, not specified below	070	Provide aid, not specified below	070	Provide aid, not specified below
455589887	20150806	201508	2015	2015.5918	GBR	UNITED KINGDOM	GBR								BUS	COMPANY						BUS			1	012	012	01	1	-0.4	2	1	2	2.3094688221709	4	Lanarkshire, South Lanarkshire, United Kingdom	UK	UKW5	55.5833	-3.83333	-2600653	4	Lanarkshire, South Lanarkshire, United Kingdom	UK	UKW5	55.5833	-3.83333	-2600653	4	Lanarkshire, South Lanarkshire, United Kingdom	UK	UKW5	55.5833	-3.83333	-2600653	20150806	http://www.scottishconstructionnow.com/7480/new-north-lanarkshire-rail-freight-terminal-approved/	3	http://www.scottishconstructionnow.com/7480/new-north-lanarkshire-rail-freight-terminal-approved/	['Scottish Construction Now']	['approved', 'terminal', 'transport', 'scottish', 'lanarkshire', 'rail', 'stirling', 'north', 'local', 'decision', 'freight']	012	Make pessimistic comment	012	Make pessimistic comment	012	Make pessimistic comment
476269328	20151015	201510	2015	2015.7808	MED	WRITER						MED			GOV	GOVERNMENT						GOV			1	111	111	11	3	-2.0	4	1	4	1.30353817504656	4	Kalburgi, Karnataka, India	IN	IN19	17.3333	76.8333	-2096786	4	Kalburgi, Karnataka, India	IN	IN19	17.3333	76.8333	-2096786	4	Kalburgi, Karnataka, India	IN	IN19	17.3333	76.8333	-2096786	20151015	http://zeenews.india.com/news/india/gujarat-cops-knock-at-writer-ganesh-devys-doors-after-he-returns-sahitya-akademi-award_1810418.html	25	http://zeenews.india.com/news/india/gujarat-cops-knock-at-writer-ganesh-devys-doors-after-he-returns-sahitya-akademi-award_1810418.html	[]	['sahgal', 'returned', 'writer', 'award', 'writers', 'devys', 'returns', 'devy', 'return', 'knock', 'cops', 'gujarat', 'awards', 'doors', 'ganesh', 'akademi', 'sahitya']	111	Criticize or denounce 	111	Criticize or denounce 	111	Criticize or denounce 
488620115	20151126	201511	2015	2015.8932											GOVHLH	HEALTH OFFICIAL						GOV	HLH		1	043	043	04	1	2.8	30	3	25	-1.7039609053498	0							0							0							20151126	http://infotel.ca/newsitem/new-interior-health-ceo-praises-south-okanagan-similkameen-health-care/it25308	415	http://infotel.ca/newsitem/new-interior-health-ceo-praises-south-okanagan-similkameen-health-care/it25308	['Steve Arstad', 'Infonews.Ca']	['mazurkewich', 'local', 'capital', 'princeton', 'funding', 'penticton', 'care', 'praises', 'ceo', 'south', 'interior', 'okanagansimilkameen', 'health']	043	Host a visit	043	Host a visit	043	Host a visit
492803845	20151210	201512	2015	2015.9315	USA	UNITED STATES	USA																		1	1123	112	11	3	-2.0	1	1	1	-13.7931034482758	3	Joliet, Illinois, United States	US	USIL	41.525	-88.0817	411192	0							2	Illinois, United States	US	USIL	40.3363	-89.0022	IL	20151210	http://peoriapublicradio.org/post/illinois-man-pleads-guilty-islamic-state-group-case	376	http://peoriapublicradio.org/post/illinois-man-pleads-guilty-islamic-state-group-case	['Associated Press']	['attack', 'man', 'guilty', 'support', 'state', 'base', 'islamic', 'case', 'say', 'wear', 'men', 'illinois', 'group', 'edmonds', 'uniform', 'joliet', 'pleads']	1123	Accuse of aggression	1123	Accuse of aggression	1123	Accuse of aggression
502207168	20160114	201601	2016	2016.0384	IND	GUJARAT	IND																		1	043	043	04	1	2.8	10	1	10	-1.55677655677655	1	India	IN	IN	20	77	IN	0							1	India	IN	IN	20	77	IN	20160114	http://www.economylead.com/blog/sunil-aggarwal/why-blockchain-is-not-a-part-of-policy-discourse-104788	418	http://www.economylead.com/blog/sunil-aggarwal/why-blockchain-is-not-a-part-of-policy-discourse-104788	[]	[]	043	Host a visit	043	Host a visit	043	Host a visit
502276526	20160114	201601	2016	2016.0384											BGD	BANGLADESH	BGD								0	043	043	04	1	2.8	1	1	1	-3.73831775700935	0							4	Baira, Bangladesh (general), Bangladesh	BG	BG00	24.3667	89.45	-2711190	4	Baira, Bangladesh (general), Bangladesh	BG	BG00	24.3667	89.45	-2711190	20160114	http://thedailynewnation.com/news/80407/stop-women-trafficking-undercover-of-cultural-teams-tourist-visa.html	419	http://thedailynewnation.com/news/80407/stop-women-trafficking-undercover-of-cultural-teams-tourist-visa.html	['The New Nation']	['tourist', 'cultural', 'welfare', 'teams', 'expatriates', 'women', 'overseas', 'stop', 'trafficking', 'committee', 'victims', 'visa', 'undercover', 'mp', 'countries', 'ministry']	043	Host a visit	043	Host a visit	043	Host a visit
504313667	20160121	201601	2016	2016.0575	COP	POLICE						COP													1	151	151	15	4	-7.2	10	2	10	-8.78102054094245	0							0							0							20160121	https://thetelegraph.com/news/local-news-1/76821/man-arrested-crack-found-in-pants	31	https://thetelegraph.com/news/local-news-1/76821/man-arrested-crack-found-in-pants	['Sanford Schmidt', 'Sschmidt Civitasmedia.Com']	['filed', 'crack', 'arrested', 'drug', 'hayes', 'jan', 'possession', 'pants', 'marijuana', 'statement', 'man', 'cocaine']	151	Increase police alert status	151	Increase police alert status	151	Increase police alert status
